External_ID,id,city_id,other_error
res_partner_15907,,,"new row for relation ""res_partner"" violates check constraint ""res_partner_check_name""
DETAIL:  Failing row contains (16470, null, 1, null, null, null, null, null, en_US, null, null, null, null, null, null, null, t, t, f, f, null, contact, null, null, null, null, null, null, null, null, null, f, null, 0, f, null, null, null, null, 1, 2018-01-18 16:56:31.716088, 1, 2018-01-18 16:56:31.716088, null, 0, f, null, null, null, null, null, null, null, null, null, null, null, no-message, null, no-message, null, no-message, null, null, null, null, null, null, f, no-message, null, null, null, 1, null).
"
res_partner_16139,,,"new row for relation ""res_partner"" violates check constraint ""res_partner_check_name""
DETAIL:  Failing row contains (16471, null, 1, null, null, null, null, null, en_US, null, null, null, null, null, null, null, t, t, f, f, null, contact, null, null, null, null, null, null, null, null, null, f, null, 0, f, null, null, null, null, 1, 2018-01-18 16:56:59.539299, 1, 2018-01-18 16:56:59.539299, null, 0, f, null, null, null, null, null, null, null, null, null, null, null, no-message, null, no-message, null, no-message, null, null, null, null, null, null, f, no-message, null, null, null, 1, null).
"
res_partner_4397,,,"new row for relation ""res_partner"" violates check constraint ""res_partner_check_name""
DETAIL:  Failing row contains (16472, null, 1, null, null, null, null, null, en_US, null, null, null, null, null, null, null, t, t, f, f, null, contact, null, null, null, null, null, null, null, null, null, f, null, 0, f, null, null, null, null, 1, 2018-01-18 16:57:29.931776, 1, 2018-01-18 16:57:29.931776, 404, 0, f, null, null, null, null, null, null, null, null, null, null, null, no-message, null, no-message, null, no-message, null, null, null, null, null, null, f, no-message, null, null, null, 1, null).
"
res_partner_16349,,,"new row for relation ""res_partner"" violates check constraint ""res_partner_check_name""
DETAIL:  Failing row contains (16473, null, 1, null, null, null, null, null, en_US, null, null, null, null, null, null, null, t, t, f, f, null, contact, null, null, null, null, null, null, null, null, null, f, null, 0, f, null, null, null, null, 1, 2018-01-18 16:57:41.737687, 1, 2018-01-18 16:57:41.737687, null, 0, f, null, null, null, null, null, null, null, null, null, null, null, no-message, null, no-message, null, no-message, null, null, null, null, null, null, f, no-message, null, null, null, 1, null).
"
res_partner_16075,,,"new row for relation ""res_partner"" violates check constraint ""res_partner_check_name""
DETAIL:  Failing row contains (16474, null, 1, null, null, null, null, null, en_US, null, null, null, null, null, null, null, t, t, f, f, null, contact, null, null, null, null, null, null, null, null, null, f, null, 0, f, null, null, null, null, 1, 2018-01-18 16:59:09.304445, 1, 2018-01-18 16:59:09.304445, null, 0, f, null, null, null, null, null, null, null, null, null, null, null, no-message, null, no-message, null, no-message, null, null, null, null, null, null, f, no-message, null, null, null, 1, null).
"
res_partner_16252,,,"new row for relation ""res_partner"" violates check constraint ""res_partner_check_name""
DETAIL:  Failing row contains (16475, null, 1, null, null, null, null, null, en_US, null, null, null, null, null, null, null, t, t, f, f, null, contact, null, null, null, null, null, null, null, null, null, f, null, 0, f, null, null, null, null, 1, 2018-01-18 16:59:19.006899, 1, 2018-01-18 16:59:19.006899, null, 0, f, null, null, null, null, null, null, null, null, null, null, null, no-message, null, no-message, null, no-message, null, null, null, null, null, null, f, no-message, null, null, null, 1, null).
"
res_partner_16182,,,"new row for relation ""res_partner"" violates check constraint ""res_partner_check_name""
DETAIL:  Failing row contains (16476, null, 1, null, null, null, null, null, en_US, null, null, null, null, null, null, null, t, t, f, f, null, contact, null, null, null, null, null, null, null, null, null, f, null, 0, f, null, null, null, null, 1, 2018-01-18 16:59:31.192384, 1, 2018-01-18 16:59:31.192384, null, 0, f, null, null, null, null, null, null, null, null, null, null, null, no-message, null, no-message, null, no-message, null, null, null, null, null, null, f, no-message, null, null, null, 1, null).
"
res_partner_16310,,,"new row for relation ""res_partner"" violates check constraint ""res_partner_check_name""
DETAIL:  Failing row contains (16477, null, 1, null, null, null, null, null, en_US, null, null, null, null, null, null, null, t, t, f, f, null, contact, null, null, null, null, null, null, null, null, null, f, null, 0, f, null, null, null, null, 1, 2018-01-18 16:59:31.978549, 1, 2018-01-18 16:59:31.978549, null, 0, f, null, null, null, null, null, null, null, null, null, null, null, no-message, null, no-message, null, no-message, null, null, null, null, null, null, f, no-message, null, null, null, 1, null).
"
res_partner_16159,,,"new row for relation ""res_partner"" violates check constraint ""res_partner_check_name""
DETAIL:  Failing row contains (16478, null, 1, null, null, null, null, null, en_US, null, null, null, null, null, null, null, t, t, f, f, null, contact, null, null, null, null, null, null, null, null, null, f, null, 0, f, null, null, null, null, 1, 2018-01-18 17:00:37.001976, 1, 2018-01-18 17:00:37.001976, null, 0, f, null, null, null, null, null, null, null, null, null, null, null, no-message, null, no-message, null, no-message, null, null, null, null, null, null, f, no-message, null, null, null, 1, null).
"
res_partner_16045,,,"new row for relation ""res_partner"" violates check constraint ""res_partner_check_name""
DETAIL:  Failing row contains (16479, null, 1, null, null, null, null, null, en_US, null, null, null, null, null, null, null, t, t, f, f, null, contact, null, null, null, null, null, null, null, null, null, f, null, 0, f, null, null, null, null, 1, 2018-01-18 17:01:06.077073, 1, 2018-01-18 17:01:06.077073, null, 0, f, null, null, null, null, null, null, null, null, null, null, null, no-message, null, no-message, null, no-message, null, null, null, null, null, null, f, no-message, null, null, null, 1, null).
"
res_partner_15896,,,"new row for relation ""res_partner"" violates check constraint ""res_partner_check_name""
DETAIL:  Failing row contains (16480, null, 1, null, null, null, null, null, en_US, null, null, null, null, null, null, null, t, t, f, f, null, contact, null, null, null, null, null, null, null, null, null, f, null, 0, f, null, null, null, null, 1, 2018-01-18 17:02:02.794716, 1, 2018-01-18 17:02:02.794716, null, 0, f, null, null, null, null, null, null, null, null, null, null, null, no-message, null, no-message, null, no-message, null, null, null, null, null, null, f, no-message, null, null, null, 1, null).
"
res_partner_15911,,,"new row for relation ""res_partner"" violates check constraint ""res_partner_check_name""
DETAIL:  Failing row contains (16481, null, 1, null, null, null, null, null, en_US, null, null, null, null, null, null, null, t, t, f, f, null, contact, null, null, null, null, null, null, null, null, null, f, null, 0, f, null, null, null, null, 1, 2018-01-18 17:02:16.116346, 1, 2018-01-18 17:02:16.116346, null, 0, f, null, null, null, null, null, null, null, null, null, null, null, no-message, null, no-message, null, no-message, null, null, null, null, null, null, f, no-message, null, null, null, 1, null).
"
res_partner_16351,,,"new row for relation ""res_partner"" violates check constraint ""res_partner_check_name""
DETAIL:  Failing row contains (16482, null, 1, null, null, null, null, null, en_US, null, null, null, null, null, null, null, t, t, f, f, null, contact, null, null, null, null, null, null, null, null, null, f, null, 0, f, null, null, null, null, 1, 2018-01-18 17:02:49.757469, 1, 2018-01-18 17:02:49.757469, null, 0, f, null, null, null, null, null, null, null, null, null, null, null, no-message, null, no-message, null, no-message, null, null, null, null, null, null, f, no-message, null, null, null, 1, null).
"
res_partner_16158,,,"new row for relation ""res_partner"" violates check constraint ""res_partner_check_name""
DETAIL:  Failing row contains (16483, null, 1, null, null, null, null, null, en_US, null, null, null, null, null, null, null, t, t, f, f, null, contact, null, null, null, null, null, null, null, null, null, f, null, 0, f, null, null, null, null, 1, 2018-01-18 17:03:02.91156, 1, 2018-01-18 17:03:02.91156, null, 0, f, null, null, null, null, null, null, null, null, null, null, null, no-message, null, no-message, null, no-message, null, null, null, null, null, null, f, no-message, null, null, null, 1, null).
"
res_partner_16230,,,"new row for relation ""res_partner"" violates check constraint ""res_partner_check_name""
DETAIL:  Failing row contains (16484, null, 1, null, null, null, null, null, en_US, null, null, null, null, null, null, null, t, t, f, f, null, contact, null, null, null, null, null, null, null, null, null, f, null, 0, f, null, null, null, null, 1, 2018-01-18 17:05:24.938016, 1, 2018-01-18 17:05:24.938016, null, 0, f, null, null, null, null, null, null, null, null, null, null, null, no-message, null, no-message, null, no-message, null, null, null, null, null, null, f, no-message, null, null, null, 1, null).
"
res_partner_15898,,,"new row for relation ""res_partner"" violates check constraint ""res_partner_check_name""
DETAIL:  Failing row contains (16485, null, 1, null, null, null, null, null, en_US, null, null, null, null, null, null, null, t, t, f, f, null, contact, null, null, null, null, null, null, null, null, null, f, null, 0, f, null, null, null, null, 1, 2018-01-18 17:05:56.016913, 1, 2018-01-18 17:05:56.016913, null, 0, f, null, null, null, null, null, null, null, null, null, null, null, no-message, null, no-message, null, no-message, null, null, null, null, null, null, f, no-message, null, null, null, 1, null).
"
res_partner_16381,,,"new row for relation ""res_partner"" violates check constraint ""res_partner_check_name""
DETAIL:  Failing row contains (16486, null, 1, null, null, null, null, null, en_US, null, null, null, null, null, null, null, t, t, f, f, null, contact, null, null, null, null, null, null, null, null, null, f, null, 0, f, null, null, null, null, 1, 2018-01-18 17:05:56.570915, 1, 2018-01-18 17:05:56.570915, null, 0, f, null, null, null, null, null, null, null, null, null, null, null, no-message, null, no-message, null, no-message, null, null, null, null, null, null, f, no-message, null, null, null, 1, null).
"
res_partner_19589,,,"new row for relation ""res_partner"" violates check constraint ""res_partner_check_name""
DETAIL:  Failing row contains (16487, null, 1, null, null, null, null, null, en_US, null, null, null, null, null, null, null, t, t, f, f, null, contact, null, null, null, null, null, null, null, null, null, f, null, 0, f, null, null, null, null, 1, 2018-01-18 17:07:39.855808, 1, 2018-01-18 17:07:39.855808, 1, 0, f, null, null, null, null, null, null, null, null, null, null, null, no-message, null, no-message, null, no-message, null, null, null, null, null, null, f, no-message, null, null, null, 1, null).
"
res_partner_19591,,,"new row for relation ""res_partner"" violates check constraint ""res_partner_check_name""
DETAIL:  Failing row contains (16488, null, 1, null, null, null, null, null, en_US, null, null, null, null, null, null, null, t, t, f, f, null, contact, null, null, null, null, null, null, null, null, null, f, null, 0, f, null, null, null, null, 1, 2018-01-18 17:07:40.018475, 1, 2018-01-18 17:07:40.018475, 1, 0, f, null, null, null, null, null, null, null, null, null, null, null, no-message, null, no-message, null, no-message, null, null, null, null, null, null, f, no-message, null, null, null, 1, null).
"
