accounting_date,date,name,location_id,product_id,product_uom,product_qty
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,2010207,UND,7847.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,2010212,UND,5528.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,202010000,UND,8305.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,202010002,UND,11423.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,202010003,UND,923.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,202010004,UND,20589.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,202010005,UND,19687.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,202010006,UND,2580.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,202010007,UND,1880.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,202010008,UND,18074.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,202010009,UND,4000.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,202010021,UND,9037.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,202010022,UND,41640.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,202010023,UND,1589.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,2020103,UND,17122.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,2020105,UND,18680.0
2017-10-31,2017-10-31,Inventario 00101 - Almacén General Valledupar 2017-10-31,00101 - Almacén General Valledupar,2020112,UND,2326.0
