ciiu_id/.id,city_id/.id,tax_id/.id
3822,"Bogota, D.C.",11.04
3830,"Bogota, D.C.",11.04
5812,"Bogota, D.C.",11.04
5819,"Bogota, D.C.",11.04
5820,"Bogota, D.C.",11.04
5911,"Bogota, D.C.",11.04
5912,"Bogota, D.C.",11.04
5920,"Bogota, D.C.",11.04
10202,"Bogota, D.C.",11.04
10402,"Bogota, D.C.",11.04
14202,"Bogota, D.C.",11.04
14302,"Bogota, D.C.",11.04
3230,"Bogota, D.C.",11.04
35201,"Bogota, D.C.",11.04
36001,"Bogota, D.C.",11.04
58112,"Bogota, D.C.",8
4631,"Bogota, D.C.",4.14
4721,"Bogota, D.C.",4.14
4722,"Bogota, D.C.",4.14
4723,"Bogota, D.C.",4.14
4729,"Bogota, D.C.",4.14
46201,"Bogota, D.C.",4.14
46451,"Bogota, D.C.",4.14
47111,"Bogota, D.C.",4.14
47192,"Bogota, D.C.",4.14
47611,"Bogota, D.C.",4.14
47731,"Bogota, D.C.",4.14
47811,"Bogota, D.C.",4.14
47911,"Bogota, D.C.",4.14
47921,"Bogota, D.C.",4.14
47991,"Bogota, D.C.",4.14
4511,"Bogota, D.C.",6.9
4512,"Bogota, D.C.",6.9
45411,"Bogota, D.C.",6.9
46631,"Bogota, D.C.",6.9
47521,"Bogota, D.C.",6.9
47912,"Bogota, D.C.",6.9
47922,"Bogota, D.C.",6.9
47992,"Bogota, D.C.",6.9
4731,"Bogota, D.C.",13.8
46322,"Bogota, D.C.",13.8
46492,"Bogota, D.C.",13.8
46612,"Bogota, D.C.",13.8
47112,"Bogota, D.C.",13.8
47242,"Bogota, D.C.",13.8
47813,"Bogota, D.C.",13.8
47913,"Bogota, D.C.",13.8
47923,"Bogota, D.C.",13.8
47993,"Bogota, D.C.",13.8
3514,"Bogota, D.C.",11.04
4530,"Bogota, D.C.",11.04
4641,"Bogota, D.C.",11.04
4642,"Bogota, D.C.",11.04
4643,"Bogota, D.C.",11.04
4644,"Bogota, D.C.",11.04
4651,"Bogota, D.C.",11.04
4652,"Bogota, D.C.",11.04
4653,"Bogota, D.C.",11.04
4659,"Bogota, D.C.",11.04
4662,"Bogota, D.C.",11.04
4664,"Bogota, D.C.",11.04
4665,"Bogota, D.C.",11.04
4669,"Bogota, D.C.",11.04
4690,"Bogota, D.C.",11.04
4732,"Bogota, D.C.",11.04
4741,"Bogota, D.C.",11.04
4742,"Bogota, D.C.",11.04
4751,"Bogota, D.C.",11.04
4753,"Bogota, D.C.",11.04
4754,"Bogota, D.C.",11.04
4755,"Bogota, D.C.",11.04
4759,"Bogota, D.C.",11.04
4762,"Bogota, D.C.",11.04
4769,"Bogota, D.C.",11.04
4771,"Bogota, D.C.",11.04
4772,"Bogota, D.C.",11.04
4774,"Bogota, D.C.",11.04
4775,"Bogota, D.C.",11.04
4782,"Bogota, D.C.",11.04
4789,"Bogota, D.C.",11.04
45412,"Bogota, D.C.",11.04
46202,"Bogota, D.C.",11.04
46321,"Bogota, D.C.",11.04
46452,"Bogota, D.C.",11.04
46491,"Bogota, D.C.",11.04
46611,"Bogota, D.C.",11.04
46632,"Bogota, D.C.",11.04
47191,"Bogota, D.C.",11.04
47241,"Bogota, D.C.",11.04
47522,"Bogota, D.C.",11.04
47612,"Bogota, D.C.",11.04
47732,"Bogota, D.C.",11.04
47812,"Bogota, D.C.",11.04
47914,"Bogota, D.C.",11.04
47924,"Bogota, D.C.",11.04
47994,"Bogota, D.C.",11.04
64992,"Bogota, D.C.",11.04
4911,"Bogota, D.C.",4.14
4912,"Bogota, D.C.",4.14
4921,"Bogota, D.C.",4.14
4922,"Bogota, D.C.",4.14
4923,"Bogota, D.C.",4.14
4930,"Bogota, D.C.",4.14
5011,"Bogota, D.C.",4.14
5012,"Bogota, D.C.",4.14
5021,"Bogota, D.C.",4.14
5022,"Bogota, D.C.",4.14
5111,"Bogota, D.C.",4.14
5112,"Bogota, D.C.",4.14
5121,"Bogota, D.C.",4.14
5122,"Bogota, D.C.",4.14
5222,"Bogota, D.C.",4.14
5813,"Bogota, D.C.",4.14
6010,"Bogota, D.C.",4.14
58111,"Bogota, D.C.",4.14
60201,"Bogota, D.C.",4.14
4111,"Bogota, D.C.",6.9
4112,"Bogota, D.C.",6.9
4210,"Bogota, D.C.",6.9
4220,"Bogota, D.C.",6.9
4290,"Bogota, D.C.",6.9
4311,"Bogota, D.C.",6.9
4312,"Bogota, D.C.",6.9
4321,"Bogota, D.C.",6.9
4322,"Bogota, D.C.",6.9
4329,"Bogota, D.C.",6.9
4330,"Bogota, D.C.",6.9
4390,"Bogota, D.C.",6.9
5914,"Bogota, D.C.",6.9
6202,"Bogota, D.C.",6.9
39002,"Bogota, D.C.",6.9
69101,"Bogota, D.C.",6.9
69201,"Bogota, D.C.",6.9
70101,"Bogota, D.C.",6.9
70201,"Bogota, D.C.",6.9
71101,"Bogota, D.C.",6.9
71201,"Bogota, D.C.",6.9
