id,name
393,Santander De Quilichao
394,Santa Rosa
395,Silvia
396,Sotara
397,Suarez
398,Sucre
399,Timbio
400,Timbiqui
401,Toribio
402,Totoro
403,Villa Rica
404,Valledupar
405,Aguachica
406,Agustin Codazzi
407,Astrea
408,Becerril
409,Bosconia
410,Chimichagua
411,Chiriguana
412,Curumani
413,El Copey
414,El Paso
415,Gamarra
416,Gonzalez
417,La Gloria
418,La Jagua De Ibirico
419,Manaure
420,Pailitas
421,Pelaya
422,Pueblo Bello
423,Rio De Oro
424,La Paz
425,San Alberto
426,San Diego
427,San Martin
428,Tamalameque
429,Monteria
430,Ayapel
431,Buenavista
432,Canalete
433,Cerete
434,Chima
435,Chinu
436,Cienaga De Oro
437,Cotorra
438,La Apartada
439,Lorica
440,Los Cordobas
441,Momil
442,Montelibano
443,Moñitos
444,Planeta Rica
445,Pueblo Nuevo
446,Puerto Escondido
447,Puerto Libertador
448,Purisima
449,Sahagun
450,San Andres Sotavento
451,San Antero
452,San Bernardo Del Viento
453,San Carlos
454,San Pelayo
455,Tierralta
456,Valencia
457,Agua De Dios
458,Alban
459,Anapoima
460,Anolaima
461,Arbelaez
462,Beltran
463,Bituima
464,Bojaca
465,Cabrera
466,Cachipay
467,Cajica
468,Caparrapi
469,Caqueza
470,Carmen De Carupa
471,Chaguani
472,Chia
473,Chipaque
474,Choachi
475,Choconta
476,Cogua
477,Cota
478,Cucunuba
479,El Colegio
480,El Peñon
481,El Rosal
482,Facatativa
483,Fomeque
484,Fosca
485,Funza
486,Fuquene
487,Fusagasuga
488,Gachala
489,Gachancipa
490,Gacheta
491,Gama
492,Girardot
493,Granada
494,Guacheta
495,Guaduas
496,Guasca
497,Guataqui
498,Guatavita
499,Guayabal De Siquima
500,Guayabetal
501,Gutierrez
502,Jerusalen
503,Junin
504,La Calera
505,La Mesa
506,La Palma
507,La Peña
508,La Vega
509,Lenguazaque
510,Macheta
511,Madrid
512,Manta
513,Medina
514,Mosquera
515,Nariño
516,Nemocon
517,Nilo
518,Nimaima
519,Nocaima
520,Venecia
521,Pacho
522,Paime
523,Pandi
524,Paratebueno
525,Pasca
526,Puerto Salgar
527,Puli
528,Quebradanegra
529,Quetame
530,Quipile
531,Apulo
532,Ricaurte
533,San Antonio Del Tequendama
534,San Bernardo
535,San Cayetano
536,San Francisco
537,San Juan De Rio Seco
538,Sasaima
539,Sesquile
540,Sibate
541,Silvania
542,Simijaca
543,Soacha
544,Sopo
545,Subachoque
546,Suesca
547,Supata
548,Susa
549,Sutatausa
550,Tabio
551,Tausa
552,Tena
553,Tenjo
554,Tibacuy
555,Tibirita
556,Tocaima
557,Tocancipa
558,Topaipi
559,Ubala
560,Ubaque
561,Villa De San Diego De Ubate
562,Une
563,Utica
564,Vergara
565,Viani
566,Villagomez
567,Villapinzon
568,Villeta
569,Viota
570,Yacopi
571,Zipacon
572,Zipaquira
573,Quibdo
574,Acandi
575,Alto Baudo
576,Atrato
577,Bagado
578,Bahia Solano
579,Bajo Baudo
580,Bojaya
581,El Canton Del San Pablo
582,Carmen Del Darien
583,Certegui
584,Condoto
585,El Carmen De Atrato
586,El Litoral Del San Juan
587,Istmina
588,Jurado
589,Lloro
590,Medio Atrato
591,Medio Baudo
592,Medio San Juan
593,Novita
594,Nuqui
595,Rio Iro
596,Rio Quito
597,Riosucio
598,San Jose Del Palmar
599,Sipi
600,Tado
601,Unguia
602,Union Panamericana
603,Neiva
604,Acevedo
605,Agrado
606,Aipe
607,Algeciras
608,Altamira
609,Baraya
610,Campoalegre
611,Colombia
612,Elias
613,Garzon
614,Gigante
615,Guadalupe
616,Hobo
617,Iquira
618,Isnos
619,La Argentina
620,La Plata
621,Nataga
622,Oporapa
623,Paicol
624,Palermo
625,Palestina
626,Pital
627,Pitalito
628,Rivera
629,Saladoblanco
630,San Agustin
631,Santa Maria
632,Suaza
633,Tarqui
634,Tesalia
635,Tello
636,Teruel
637,Timana
638,Villavieja
639,Yaguara
640,Riohacha
641,Albania
642,Barrancas
643,Dibulla
644,Distraccion
645,El Molino
646,Fonseca
647,Hatonuevo
648,La Jagua Del Pilar
649,Maicao
650,Manaure
651,San Juan Del Cesar
652,Uribia
653,Urumita
654,Villanueva
655,Santa Marta
656,Algarrobo
657,Aracataca
658,Ariguani
659,Cerro San Antonio
660,Chibolo
661,Cienaga
662,Concordia
663,El Banco
664,El Piñon
665,El Reten
666,Fundacion
667,Guamal
668,Nueva Granada
669,Pedraza
670,Pijiño Del Carmen
671,Pivijay
672,Plato
673,Puebloviejo
674,Remolino
675,Sabanas De San Angel
676,Salamina
677,San Sebastian De Buenavista
678,San Zenon
679,Santa Ana
680,Santa Barbara De Pinto
681,Sitionuevo
682,Tenerife
683,Zapayan
684,Zona Bananera
685,Villavicencio
686,Acacias
687,Barranca De Upia
688,Cabuyaro
689,Castilla La Nueva
690,Cubarral
691,Cumaral
692,El Calvario
693,El Castillo
694,El Dorado
695,Fuente De Oro
696,Granada
697,Guamal
698,Mapiripan
699,Mesetas
700,La Macarena
701,Uribe
702,Lejanias
703,Puerto Concordia
704,Puerto Gaitan
705,Puerto Lopez
706,Puerto Lleras
707,Puerto Rico
708,Restrepo
709,San Carlos De Guaroa
710,San Juan De Arama
711,San Juanito
712,San Martin
713,Vistahermosa
714,Pasto
715,Alban
716,Aldana
717,Ancuya
718,Arboleda
719,Barbacoas
720,Belen
721,Buesaco
722,Colon
723,Consaca
724,Contadero
725,Cordoba
726,Cuaspud
727,Cumbal
728,Cumbitara
729,Chachagsi
730,El Charco
731,El Peñol
732,El Rosario
733,El Tablon De Gomez
734,El Tambo
735,Funes
736,Guachucal
737,Guaitarilla
738,Gualmatan
739,Iles
740,Imues
741,Ipiales
742,La Cruz
743,La Florida
744,La Llanada
745,La Tola
746,La Union
747,Leiva
748,Linares
749,Los Andes
750,Magsi
751,Mallama
752,Mosquera
753,Nariño
754,Olaya Herrera
755,Ospina
756,Francisco Pizarro
757,Policarpa
758,Potosi
759,Providencia
760,Puerres
761,Pupiales
762,Ricaurte
763,Roberto Payan
764,Samaniego
765,Sandona
766,San Bernardo
767,San Lorenzo
768,San Pablo
769,San Pedro De Cartago
770,Santa Barbara
771,Santacruz
772,Sapuyes
773,Taminango
774,Tangua
775,San Andres De Tumaco
776,Tuquerres
777,Yacuanquer
778,Cucuta
779,Abrego
780,Arboledas
781,Bochalema
782,Bucarasica
783,Cacota
784,Cachira
785,Chinacota
786,Chitaga
787,Convencion
788,Cucutilla
789,Durania
790,El Carmen
791,El Tarra
792,El Zulia
793,Gramalote
794,Hacari
795,Herran
796,Labateca
797,La Esperanza
798,La Playa
799,Los Patios
800,Lourdes
801,Mutiscua
802,Ocaña
803,Pamplona
804,Pamplonita
805,Puerto Santander
806,Ragonvalia
807,Salazar
808,San Calixto
809,San Cayetano
810,Santiago
811,Sardinata
812,Silos
813,Teorama
814,Tibu
815,Toledo
816,Villa Caro
817,Villa Del Rosario
818,Armenia
819,Buenavista
820,Calarca
821,Circasia
822,Cordoba
823,Filandia
824,Genova
825,La Tebaida
826,Montenegro
827,Pijao
828,Quimbaya
829,Salento
830,Pereira
831,Apia
832,Balboa
833,Belen De Umbria
834,Dosquebradas
835,Guatica
836,La Celia
837,La Virginia
838,Marsella
839,Mistrato
840,Pueblo Rico
841,Quinchia
842,Santa Rosa De Cabal
843,Santuario
844,Bucaramanga
845,Aguada
846,Albania
847,Aratoca
848,Barbosa
849,Barichara
850,Barrancabermeja
851,Betulia
852,Bolivar
853,Cabrera
854,California
855,Capitanejo
856,Carcasi
857,Cepita
858,Cerrito
859,Charala
860,Charta
861,Chima
862,Chipata
863,Cimitarra
864,Concepcion
865,Confines
866,Contratacion
867,Coromoro
868,Curiti
869,El Carmen De Chucuri
870,El Guacamayo
871,El Peñon
872,El Playon
873,Encino
874,Enciso
875,Florian
876,Floridablanca
877,Galan
878,Gambita
879,Giron
880,Guaca
881,Guadalupe
882,Guapota
883,Guavata
884,Gsepsa
885,Hato
886,Jesus Maria
887,Jordan
888,La Belleza
889,Landazuri
890,La Paz
891,Lebrija
892,Los Santos
893,Macaravita
894,Malaga
895,Matanza
896,Mogotes
897,Molagavita
898,Ocamonte
899,Oiba
900,Onzaga
901,Palmar
902,Palmas Del Socorro
903,Paramo
904,Piedecuesta
905,Pinchote
906,Puente Nacional
907,Puerto Parra
908,Puerto Wilches
909,Rionegro
910,Sabana De Torres
911,San Andres
912,San Benito
913,San Gil
914,San Joaquin
915,San Jose De Miranda
916,San Miguel
917,San Vicente De Chucuri
918,Santa Barbara
919,Santa Helena Del Opon
920,Simacota
921,Socorro
922,Suaita
923,Sucre
924,Surata
925,Tona
926,Valle De San Jose
927,Velez
928,Vetas
929,Villanueva
930,Zapatoca
931,Sincelejo
932,Buenavista
933,Caimito
934,Coloso
935,Corozal
936,Coveñas
937,Chalan
938,El Roble
939,Galeras
940,Guaranda
941,La Union
942,Los Palmitos
943,Majagual
944,Morroa
945,Ovejas
946,Palmito
947,Sampues
948,San Benito Abad
949,San Juan De Betulia
950,San Marcos
951,San Onofre
952,San Pedro
953,San Luis De Since
954,Sucre
955,Santiago De Tolu
956,Tolu Viejo
957,Ibague
958,Alpujarra
959,Alvarado
960,Ambalema
961,Anzoategui
962,Armero
963,Ataco
964,Cajamarca
965,Carmen De Apicala
966,Casabianca
967,Chaparral
968,Coello
969,Coyaima
970,Cunday
971,Dolores
972,Espinal
973,Falan
974,Flandes
975,Fresno
976,Guamo
977,Herveo
978,Honda
979,Icononzo
980,Lerida
981,Libano
982,Mariquita
983,Melgar
984,Murillo
985,Natagaima
986,Ortega
987,Palocabildo
988,Piedras
989,Planadas
990,Prado
991,Purificacion
992,Rioblanco
993,Roncesvalles
994,Rovira
995,Saldaña
996,San Antonio
997,San Luis
998,Santa Isabel
999,Suarez
1000,Valle De San Juan
1001,Venadillo
1002,Villahermosa
1003,Villarrica
1004,Cali
1005,Alcala
1006,Andalucia
1007,Ansermanuevo
1008,Argelia
1009,Bolivar
1010,Buenaventura
1011,Guadalajara De Buga
1012,Bugalagrande
1013,Caicedonia
1014,Calima
1015,Candelaria
1016,Cartago
1017,Dagua
1018,El Aguila
1019,El Cairo
1020,El Cerrito
1021,El Dovio
1022,Florida
1023,Ginebra
1024,Guacari
1025,Jamundi
1026,La Cumbre
1027,La Union
1028,La Victoria
1029,Obando
1030,Palmira
1031,Pradera
1032,Restrepo
1033,Riofrio
1034,Roldanillo
1035,San Pedro
1036,Sevilla
1037,Toro
1038,Trujillo
1039,Tulua
1040,Ulloa
1041,Versalles
1042,Vijes
1043,Yotoco
1044,Yumbo
1045,Zarzal
1046,Arauca
1047,Arauquita
1048,Cravo Norte
1049,Fortul
1050,Puerto Rondon
1051,Saravena
1052,Tame
1053,Yopal
1054,Aguazul
1055,Chameza
1056,Hato Corozal
1057,La Salina
1058,Mani
1059,Monterrey
1060,Nunchia
1061,Orocue
1062,Paz De Ariporo
1063,Pore
1064,Recetor
1065,Sabanalarga
1066,Sacama
1067,San Luis De Palenque
1068,Tamara
1069,Tauramena
1070,Trinidad
1071,Villanueva
1072,Mocoa
1073,Colon
1074,Orito
1075,Puerto Asis
1076,Puerto Caicedo
1077,Puerto Guzman
1078,Leguizamo
1079,Sibundoy
1080,San Francisco
1081,San Miguel
1082,Santiago
1083,Valle Del Guamuez
1084,Villagarzon
1085,San Andres
1086,Providencia
1087,Leticia
1088,El Encanto
1089,La Chorrera
1090,La Pedrera
1091,La Victoria
1092,Miriti - Parana
1093,Puerto Alegria
1094,Puerto Arica
1095,Puerto Nariño
1096,Puerto Santander
1097,Tarapaca
1098,Inirida
1099,Barranco Minas
1100,Mapiripana
1101,San Felipe
1102,Puerto Colombia
1103,La Guadalupe
1104,Cacahual
1105,Pana Pana
1106,Morichal
1107,San Jose Del Guaviare
1108,Calamar
1109,El Retorno
1110,Miraflores
1111,Mitu
1112,Caruru
1113,Pacoa
1114,Taraira
1115,Papunaua
1116,Yavarate
1117,Puerto Carreño
1118,La Primavera
1119,Santa Rosalia
1120,Cumaribo
